00 0
00 1
00 2
00 3
00 4
00 5
00 6
00 8
00 Data was recorded 60 times per second
00 Date and Time: 2/10/2020 10:14:55 AM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):66395.94  stage:1 time_period:10 sway_degree:-15 #_of_sways:0 rep:1
01 timestamp(ms):66428.09 force plate (fx, fy, fz, mx, my, mz):-0.3439884,-0.3224583,0.0534668,0.08624268,-0.02371216,0.1101446
01 timestamp(ms):66462.6 force plate (fx, fy, fz, mx, my, mz):-0.01615715,0.1693382,0.2434082,0.01257324,-0.0413208,0.01702499
01 timestamp(ms):66495.02 force plate (fx, fy, fz, mx, my, mz):-0.01237297,0.4120235,0.05639648,0.05340576,-0.008178711,-0.02646065
01 timestamp(ms):66526.52 force plate (fx, fy, fz, mx, my, mz):0.3067112,0.1686916,-0.1281738,0.01300049,0.04016113,-0.07547569
01 timestamp(ms):66572.46 force plate (fx, fy, fz, mx, my, mz):0.3203449,0.1776905,0.0559082,-0.04071045,0.007537842,0.1117039
01 timestamp(ms):66733.34 force plate (fx, fy, fz, mx, my, mz):-0.01513481,-0.07556534,0.05688477,-0.0279541,-0.008148193,-0.0243845
01 timestamp(ms):66771.48 force plate (fx, fy, fz, mx, my, mz):-0.3576488,-0.08058548,0.05493164,-0.02770996,-0.02429199,-0.03419971
01 timestamp(ms):66798.87 force plate (fx, fy, fz, mx, my, mz):-0.01662636,0.1714783,0.432373,-0.03881836,0.05865479,0.01727009
01 timestamp(ms):66828.83 force plate (fx, fy, fz, mx, my, mz):-0.01513481,-0.07556534,0.05688477,-0.0279541,-0.008148193,-0.0243845
01 timestamp(ms):66860.52 force plate (fx, fy, fz, mx, my, mz):-0.01401329,-0.07865334,0.05639648,0.07574463,-0.008148193,-0.0251379
01 timestamp(ms):66893.61 force plate (fx, fy, fz, mx, my, mz):-0.01688957,0.1677227,0.05639648,0.06439209,-0.008300781,0.01653957
01 timestamp(ms):66927.35 force plate (fx, fy, fz, mx, my, mz):0.3092976,0.1688271,0.2453613,0.01306152,-0.02587891,-0.07525826
01 timestamp(ms):66960.46 force plate (fx, fy, fz, mx, my, mz):-0.01874352,0.1691952,-0.130127,0.01263428,0.02471924,0.01680756
01 timestamp(ms):66993.9 force plate (fx, fy, fz, mx, my, mz):-0.01441002,0.1711121,0.4304199,-0.03955078,-0.007843018,0.01735115
01 timestamp(ms):67027.18 force plate (fx, fy, fz, mx, my, mz):-0.009893417,0.4154129,0.4304199,-0.05053711,-0.007720947,-0.02564907
01 timestamp(ms):67060.07 force plate (fx, fy, fz, mx, my, mz):-0.3413296,-0.07666969,-0.1320801,0.02337646,0.009429932,0.06741333
01 timestamp(ms):67093.26 force plate (fx, fy, fz, mx, my, mz):-0.01465988,-0.07770348,-0.1313477,0.02362061,-0.1081238,-0.02463007
01 timestamp(ms):67127.1 force plate (fx, fy, fz, mx, my, mz):-0.3409634,-0.07556343,-0.3195801,-0.02911377,-0.02404785,0.06776237
01 timestamp(ms):67163.88 force plate (fx, fy, fz, mx, my, mz):0.3199863,-0.06847,0.05688477,-0.02844238,0.007720947,0.07010555
01 timestamp(ms):67194.91 force plate (fx, fy, fz, mx, my, mz):-0.01615715,0.1693382,0.2434082,0.01257324,-0.0413208,0.01702499
01 timestamp(ms):67227.63 force plate (fx, fy, fz, mx, my, mz):-0.01874352,0.1691952,-0.130127,0.01263428,0.02471924,0.01680756
