00 platetest
00 Data was recorded 60 times per second
00 Date and Time: 11/1/2022 2:40:49 PM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):37386.41  stage:1 time_period:10 sway_degree:-15 #_of_sways:0 rep:1
01 timestamp(ms):37414.42 force plate (fx, fy, fz, mx, my, mz):0.1155338,-0.5312519,1.237793,-3.043762,1.487701,0.05770636
01 timestamp(ms):37433.52 force plate (fx, fy, fz, mx, my, mz):-0.2251148,-0.5377522,1.424316,-2.991638,1.438568,0.04762411
01 timestamp(ms):37452.1 force plate (fx, fy, fz, mx, my, mz):-0.2258453,-0.5393677,1.237061,-2.939758,1.471588,0.04713869
01 timestamp(ms):37474.63 force plate (fx, fy, fz, mx, my, mz):-0.2203159,-0.5405674,1.61377,-2.938293,1.538818,-0.03748178
01 timestamp(ms):37496.09 force plate (fx, fy, fz, mx, my, mz):0.1112022,-0.2887039,1.425537,-2.898254,1.587555,0.09820223
01 timestamp(ms):37518.96 force plate (fx, fy, fz, mx, my, mz):-0.9229603,-0.3152542,-2.880127,-2.743225,2.099457,-0.1039796
01 timestamp(ms):37544.05 force plate (fx, fy, fz, mx, my, mz):-0.9248867,-0.5594196,-2.506592,-2.732239,2.033325,-0.06076384
01 timestamp(ms):37562.41 force plate (fx, fy, fz, mx, my, mz):-0.9258327,-0.06887817,-2.880127,-2.754456,2.099304,-0.06230211
01 timestamp(ms):37585.37 force plate (fx, fy, fz, mx, my, mz):-0.9239788,-0.07035828,-2.692627,-2.702576,2.066284,-0.06257105
01 timestamp(ms):37607.34 force plate (fx, fy, fz, mx, my, mz):-0.9165936,-0.07242584,-2.692627,-2.702332,2.066559,-0.1472487
01 timestamp(ms):37629.17 force plate (fx, fy, fz, mx, my, mz):-1.220827,0.1757679,1.054199,-2.397217,2.056366,0.0879159
01 timestamp(ms):37652.73 force plate (fx, fy, fz, mx, my, mz):-1.230667,-0.07422829,1.615967,-2.437561,2.023315,-0.05531549
01 timestamp(ms):37675.2 force plate (fx, fy, fz, mx, my, mz):-1.228523,-0.3222198,1.428711,-2.374451,2.056458,-0.09747839
01 timestamp(ms):37695.15 force plate (fx, fy, fz, mx, my, mz):-1.558716,-0.07385635,1.239258,-2.437927,2.073883,0.03675127
01 timestamp(ms):37717.48 force plate (fx, fy, fz, mx, my, mz):-1.223486,-0.07001686,1.240723,-2.334473,2.023224,0.1306462
01 timestamp(ms):37741.24 force plate (fx, fy, fz, mx, my, mz):-0.9010296,0.1648235,-0.8195801,-2.089233,1.86969,0.07776451
01 timestamp(ms):37764.26 force plate (fx, fy, fz, mx, my, mz):-1.236258,0.1609898,-0.8205566,-2.192627,1.920319,-0.01613331
01 timestamp(ms):37785.11 force plate (fx, fy, fz, mx, my, mz):-1.232546,0.1580296,-0.4465332,-2.088989,1.854309,-0.01667023
01 timestamp(ms):37808.97 force plate (fx, fy, fz, mx, my, mz):-0.8960438,-0.07866859,-0.8205566,-2.182617,1.869843,0.03676128
01 timestamp(ms):37828.83 force plate (fx, fy, fz, mx, my, mz):-0.5734615,0.1672039,-0.8195801,-2.193359,1.885132,-0.0138464
01 timestamp(ms):37851.48 force plate (fx, fy, fz, mx, my, mz):-0.566288,-0.08494568,-0.4487305,-1.977051,1.419952,0.02850294
01 timestamp(ms):37879.99 force plate (fx, fy, fz, mx, my, mz):-0.563448,-0.08044624,-0.262207,-2.133484,1.386963,0.02966213
01 timestamp(ms):37896.59 force plate (fx, fy, fz, mx, my, mz):-0.2283268,-0.07335854,-0.262207,-2.133972,1.402832,0.1241541
01 timestamp(ms):37918.25 force plate (fx, fy, fz, mx, my, mz):-0.5589352,0.1638622,-0.262207,-2.144348,1.387085,-0.01333714
01 timestamp(ms):37940.89 force plate (fx, fy, fz, mx, my, mz):0.1087933,0.169178,0.2966309,-2.095764,0.920105,0.07405519
01 timestamp(ms):37962.42 force plate (fx, fy, fz, mx, my, mz):0.1123981,-0.0755806,0.4846191,-2.136414,0.8872375,0.03286314
01 timestamp(ms):37986.93 force plate (fx, fy, fz, mx, my, mz):0.1123981,-0.0755806,0.4846191,-2.136414,0.8872375,0.03286314
01 timestamp(ms):38007.77 force plate (fx, fy, fz, mx, my, mz):0.1113796,0.1693153,0.6706543,-2.095764,0.8540649,0.07427263
01 timestamp(ms):38029 force plate (fx, fy, fz, mx, my, mz):-0.2210827,0.4080124,0.4836426,-2.158142,0.8713379,-0.06295156
01 timestamp(ms):38051.3 force plate (fx, fy, fz, mx, my, mz):0.1142654,-0.3163433,0.2900391,-2.28595,0.3214111,0.1623616
01 timestamp(ms):38074.29 force plate (fx, fy, fz, mx, my, mz):0.1187782,-0.07203484,0.2900391,-2.296936,0.3215332,0.1193624
01 timestamp(ms):38097.07 force plate (fx, fy, fz, mx, my, mz):0.4480133,0.1701431,0.1057129,-2.255554,0.3700867,-0.01640749
01 timestamp(ms):38123.98 force plate (fx, fy, fz, mx, my, mz):0.1225586,0.1706505,0.1037598,-2.25592,0.3546448,0.07587767
