00 testapp
00 01
00 testapp
00 Data was recorded 60 times per second
00 Date and Time: 9/27/2019 2:07:22 PM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):63420.79  stage:1 time_period:3 sway_degree:-15 #_of_sways:4 rep:1
01 timestamp(ms):63444.21 force plate (fx, fy, fz, mx, my, mz):0.6020222,-0.7881889,0.8764648,-0.2254639,-0.4475403,-0.01673651
01 timestamp(ms):63464.91 force plate (fx, fy, fz, mx, my, mz):0.2609615,0.6343861,-1.558594,1.210388,-0.1680298,0.04197788
01 timestamp(ms):63486.74 force plate (fx, fy, fz, mx, my, mz):0.5957165,0.6403713,-1.370117,1.26239,-0.1186829,0.1361217
01 timestamp(ms):63508.56 force plate (fx, fy, fz, mx, my, mz):0.2557163,0.3884602,-1.746582,1.273193,-0.1351624,0.08449268
01 timestamp(ms):63530.87 force plate (fx, fy, fz, mx, my, mz):0.2573566,0.8791523,-1.745605,1.250977,-0.1351624,0.08317089
01 timestamp(ms):63553.11 force plate (fx, fy, fz, mx, my, mz):-0.07776451,0.8720646,-1.745605,1.251465,-0.1510315,-0.01132107
01 timestamp(ms):63575.73 force plate (fx, fy, fz, mx, my, mz):0.6075726,1.350986,1.250244,2.268005,-0.3154297,0.2548141
01 timestamp(ms):63598.24 force plate (fx, fy, fz, mx, my, mz):0.6079388,1.3521,1.062744,2.215515,-0.3489075,0.2551622
01 timestamp(ms):63619.77 force plate (fx, fy, fz, mx, my, mz):0.6075726,1.350986,1.250244,2.268005,-0.3154297,0.2548141
01 timestamp(ms):63643.24 force plate (fx, fy, fz, mx, my, mz):0.6086979,1.102837,1.063232,2.331421,-0.3487854,0.2128105
01 timestamp(ms):63663.18 force plate (fx, fy, fz, mx, my, mz):0.2750645,1.093765,0.8742676,2.383179,-0.3980713,0.1179142
01 timestamp(ms):63685.58 force plate (fx, fy, fz, mx, my, mz):0.9313374,1.340244,0.6879883,2.629395,-0.4672546,0.2446451
01 timestamp(ms):63708.39 force plate (fx, fy, fz, mx, my, mz):1.264547,1.338776,0.503418,2.577637,-0.4850464,0.06803036
01 timestamp(ms):63730.12 force plate (fx, fy, fz, mx, my, mz):1.263422,1.586926,0.6904297,2.514221,-0.4516907,0.110034
