Time	 CoPx	 Distance(d)	 Abs Distance	 Velocity
23060.88	-0.1795
23077.5	-0.0056	0.1739	0.1739	0.0105
23097.54	-0.6182	-0.6126	0.6126	-0.0306
23112.85	0.0431	0.6612	0.6612	0.0432
23127.6	0.4676	0.4245	0.4245	0.0288
23143.13	0.5303	0.0627	0.0627	0.004
23160.51	0.3985	-0.1318	0.1318	-0.0076
23180.96	0.4141	0.0157	0.0157	0.0008
23196.43	-0.47	-0.8841	0.8841	-0.0571
23211.81	-0.0056	0.4644	0.4644	0.0302
23226.85	-0.1235	-0.118	0.118	-0.0078
23247.29	-0.5841	-0.4606	0.4606	-0.0225
23262.63	-0.6493	-0.0652	0.0652	-0.0043
23277.56	0.0138	0.6631	0.6631	0.0444
23297.58	-0.1235	-0.1373	0.1373	-0.0069
23313.1	0.9931	1.1166	1.1166	0.0719
23328.43	0.5091	-0.484	0.484	-0.0316
23343.99	-0.0156	-0.5247	0.5247	-0.0337
23361.25	0.073	0.0887	0.0887	0.0051
23376.88	-0.0851	-0.1581	0.1581	-0.0101
23393.12	0.0651	0.1501	0.1501	0.0092
23413.1	-0.1235	-0.1886	0.1886	-0.0094
23427.8	-0.0631	0.0605	0.0605	0.0041
23443.34	-0.0011	0.062	0.062	0.004
23463.59	0.018	0.019	0.019	0.0009
23478.94	0.0111	-0.0069	0.0069	-0.0004
23493.98	-0.1235	-0.1346	0.1346	-0.009
23513.93	-0.5406	-0.4171	0.4171	-0.0209
23528.93	-0.1412	0.3994	0.3994	0.0266
23544.1	-0.0737	0.0675	0.0675	0.0044
23561.24	-0.0056	0.0681	0.0681	0.004
23576.3	0.3538	0.3594	0.3594	0.0239
23596.22	-0.2472	-0.601	0.601	-0.0302
23611.52	0.3312	0.5784	0.5784	0.0378
23627.48	0.4596	0.1284	0.1284	0.008
23642.88	-0.0655	-0.525	0.525	-0.0341
23663.11	-0.2041	-0.1386	0.1386	-0.0069
23678.55	-0.2472	-0.0431	0.0431	-0.0028
23693.77	-0.1235	0.1237	0.1237	0.0081
23713.96	-0.1235	0.0	0.0	0.0
23728.99	-0.1184	0.0052	0.0052	0.0003
23744.14	0.0543	0.1726	0.1726	0.0114
23761.11	-0.0156	-0.0699	0.0699	-0.0041
23776.65	-0.0851	-0.0694	0.0694	-0.0045
23796.84	-0.1795	-0.0944	0.0944	-0.0047
23811.83	0.3362	0.5157	0.5157	0.0344
23826.83	-0.1529	-0.489	0.489	-0.0326
23847.05	-0.6289	-0.476	0.476	-0.0235
23862.32	-0.1184	0.5106	0.5106	0.0334
23877.7	0.0093	0.1276	0.1276	0.0083
23897.71	-0.4806	-0.4899	0.4899	-0.0245
23914.89	-0.5894	-0.1088	0.1088	-0.0063
23930.57	0.0562	0.6456	0.6456	0.0412
23945.74	0.073	0.0169	0.0169	0.0011
23962.72	0.025	-0.048	0.048	-0.0028
23978.17	-0.0851	-0.1101	0.1101	-0.0071
23993.87	0.3747	0.4597	0.4597	0.0293
24014.03	-0.6712	-1.0459	1.0459	-0.0519
24029.17	-0.6013	0.0699	0.0699	0.0046
24044.21	-0.1356	0.4657	0.4657	0.031
24059.86	-0.0953	0.0403	0.0403	0.0026
24080.01	0.3306	0.4259	0.4259	0.0211
24095.09	-0.5841	-0.9147	0.9147	-0.0607
24110.12	-0.0967	0.4874	0.4874	0.0324
24130.7	-0.1418	-0.0451	0.0451	-0.0022
24146.15	0.3303	0.4721	0.4721	0.0306
24163.35	-0.0056	-0.3358	0.3358	-0.0195
24178.73	0.4919	0.4975	0.4975	0.0323
24194.3	0.4676	-0.0243	0.0243	-0.0016
24209.89	-0.1184	-0.5859	0.5859	-0.0376
24230.02	-0.1235	-0.0052	0.0052	-0.0003
24245.33	0.4919	0.6154	0.6154	0.0402
24260.7	0.0044	-0.4875	0.4875	-0.0317
24280.47	0.5366	0.5323	0.5323	0.0269
24295.74	-0.7306	-1.2672	1.2672	-0.083
24310.54	0.0643	0.7948	0.7948	0.0537
24330.57	0.6142	0.5499	0.5499	0.0275
24345.86	-0.0156	-0.6298	0.6298	-0.0412
24363.17	-0.1235	-0.1079	0.1079	-0.0062
24378.56	0.0643	0.1878	0.1878	0.0122
24393.78	-0.7306	-0.7948	0.7948	-0.0522
24413.66	-0.1412	0.5894	0.5894	0.0296
24428.27	-0.1461	-0.0049	0.0049	-0.0003
24443.63	-0.1284	0.0177	0.0177	0.0012
24463.27	-0.1832	-0.0548	0.0548	-0.0028
24478.77	-0.6712	-0.488	0.488	-0.0315
24494.21	0.0102	0.6814	0.6814	0.0441
24514.16	0.25	0.2398	0.2398	0.012
24529.83	0.025	-0.225	0.225	-0.0144
24545.67	-0.0138	-0.0388	0.0388	-0.0025
24562.95	-0.0138	0.0	0.0	0.0
24578.31	-0.1534	-0.1396	0.1396	-0.0091
24593.97	-0.1356	0.0178	0.0178	0.0011
24609.95	-0.4075	-0.2719	0.2719	-0.017
24627.24	-0.4563	-0.0488	0.0488	-0.0028
24646.78	-0.1795	0.2768	0.2768	0.0142
24662.55	0.4704	0.6499	0.6499	0.0412
