00 Gib
00 004
00 ExportNotUsed
00 Data was recorded 30 times per second
00 Date and Time: 11/30/2023 4:56:33 PM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):58570.13  stage:0 time_period:20 sway_degree:-10 #_of_sways:10 rep:1
01 timestamp(ms):58608.96 force plate (fx, fy, fz, mx, my, mz):0.05031204,0.06518745,-0.06152344,-0.06469727,0.0819397,0.02765751
01 timestamp(ms):58647.35 force plate (fx, fy, fz, mx, my, mz):0.0528965,0.0653286,0.3129883,-0.06463623,0.01596069,0.02787495
01 timestamp(ms):58682.04 force plate (fx, fy, fz, mx, my, mz):0.03697777,-0.1883526,0.1276855,-0.0004882813,-0.01803589,-0.1162271
01 timestamp(ms):58716.81 force plate (fx, fy, fz, mx, my, mz):0.3740273,0.06290245,-0.2468262,-0.012146,0.06390381,-0.0649538
01 timestamp(ms):58749.37 force plate (fx, fy, fz, mx, my, mz):-0.2847023,0.054842,-0.0612793,0.03985596,-0.0003967285,-0.06742668
01 timestamp(ms):58789.89 force plate (fx, fy, fz, mx, my, mz):0.04002762,0.05272102,-0.2463379,0.09222412,0.04806519,-0.1601973
01 timestamp(ms):58833.31 force plate (fx, fy, fz, mx, my, mz):0.04590607,-0.1823711,-0.0612793,0.050354,0.01531982,0.07006264
01 timestamp(ms):58874.48 force plate (fx, fy, fz, mx, my, mz):0.05151558,0.06466484,-0.06225586,-0.06494141,-0.05102539,0.02789593
01 timestamp(ms):58909.96 force plate (fx, fy, fz, mx, my, mz):0.03365707,-0.1901112,-0.4338379,0.05133057,0.08096313,-0.11693
01 timestamp(ms):58944.44 force plate (fx, fy, fz, mx, my, mz):0.3713684,-0.1828823,-0.05932617,0.05072021,0.03076172,-0.02222252
01 timestamp(ms):58978.2 force plate (fx, fy, fz, mx, my, mz):0.3720989,-0.1812649,0.1276855,-0.001098633,-0.002197266,-0.0217371
01 timestamp(ms):59014.73 force plate (fx, fy, fz, mx, my, mz):0.3743935,0.06401253,-0.4348145,-0.06463623,0.03039551,-0.06460571
01 timestamp(ms):59049.87 force plate (fx, fy, fz, mx, my, mz):0.3740273,0.06290245,-0.2468262,-0.012146,0.06390381,-0.0649538
01 timestamp(ms):59084.35 force plate (fx, fy, fz, mx, my, mz):-0.2821178,0.05497932,0.3122559,0.03991699,-0.06637573,-0.0672102
01 timestamp(ms):59118.85 force plate (fx, fy, fz, mx, my, mz):0.05041885,0.06193733,-0.0612793,0.03936768,0.01544189,0.02706337
01 timestamp(ms):59156.65 force plate (fx, fy, fz, mx, my, mz):0.04112625,0.05544853,-0.2473145,-0.012146,-0.01846313,-0.1593647
01 timestamp(ms):59190 force plate (fx, fy, fz, mx, my, mz):0.04728699,-0.1817112,0.3134766,0.05065918,0.08224487,0.07003975
01 timestamp(ms):59226.96 force plate (fx, fy, fz, mx, my, mz):0.05041885,0.06193733,-0.0612793,0.03936768,0.01544189,0.02706337
01 timestamp(ms):59260.74 force plate (fx, fy, fz, mx, my, mz):0.03624725,-0.18997,-0.05932617,0.05133057,0.0149231,-0.1167126
01 timestamp(ms):59297.67 force plate (fx, fy, fz, mx, my, mz):0.04590607,-0.1823711,-0.0612793,0.050354,0.01531982,0.07006264
01 timestamp(ms):59332.8 force plate (fx, fy, fz, mx, my, mz):-0.2888527,-0.1883564,-0.2492676,-0.001647949,-0.0340271,-0.02408028
01 timestamp(ms):59369.17 force plate (fx, fy, fz, mx, my, mz):-0.2797203,-0.1886501,-0.06103516,-0.05358887,-0.0002746582,-0.1084309
01 timestamp(ms):59402.62 force plate (fx, fy, fz, mx, my, mz):0.05114937,0.06355476,0.1257324,-0.01245117,-0.01751709,0.02754879
01 timestamp(ms):59447.99 force plate (fx, fy, fz, mx, my, mz):0.05078506,0.06304741,-0.2492676,-0.01312256,-0.01806641,0.02741051
01 timestamp(ms):59482.27 force plate (fx, fy, fz, mx, my, mz):0.0522728,0.06045723,0.1252441,0.09112549,-0.01757813,0.02679443
01 timestamp(ms):59517.37 force plate (fx, fy, fz, mx, my, mz):-0.2829552,0.05661583,0.1259766,-0.0123291,0.03308105,-0.06710052
01 timestamp(ms):59554.23 force plate (fx, fy, fz, mx, my, mz):0.3776283,0.0632,0.1279297,-0.01245117,0.06436157,-0.06489563
01 timestamp(ms):59591.75 force plate (fx, fy, fz, mx, my, mz):0.3758812,0.06142616,-0.05932617,0.03973389,0.03088379,-0.06522179
01 timestamp(ms):59628.15 force plate (fx, fy, fz, mx, my, mz):0.3762474,0.06253624,-0.2473145,-0.01275635,-0.002624512,-0.06487465
01 timestamp(ms):59667.82 force plate (fx, fy, fz, mx, my, mz):-0.2843361,0.05595207,-0.2492676,-0.01263428,-0.03390503,-0.06707954
01 timestamp(ms):59712.98 force plate (fx, fy, fz, mx, my, mz):0.05216599,0.06371117,0.1259766,-0.01281738,0.04891968,0.02738953
01 timestamp(ms):59756.25 force plate (fx, fy, fz, mx, my, mz):0.05041885,0.06193733,-0.0612793,0.03936768,0.01544189,0.02706337
01 timestamp(ms):59789.57 force plate (fx, fy, fz, mx, my, mz):0.05041885,0.06193733,-0.0612793,0.03936768,0.01544189,0.02706337
01 timestamp(ms):59823.31 force plate (fx, fy, fz, mx, my, mz):0.05326271,0.06643867,0.125,-0.1171265,-0.01754761,0.02822208
01 timestamp(ms):59858.72 force plate (fx, fy, fz, mx, my, mz):0.05041885,0.06193733,-0.0612793,0.03936768,0.01544189,0.02706337
01 timestamp(ms):59891.17 force plate (fx, fy, fz, mx, my, mz):0.05078506,0.06304741,-0.2492676,-0.01312256,-0.01806641,0.02741051
01 timestamp(ms):59922.25 force plate (fx, fy, fz, mx, my, mz):0.0476532,-0.1805973,0.1259766,-0.001831055,0.04879761,0.07038879
01 timestamp(ms):59956.16 force plate (fx, fy, fz, mx, my, mz):0.04590607,-0.1823711,-0.0612793,0.050354,0.01531982,0.07006264
01 timestamp(ms):59989.76 force plate (fx, fy, fz, mx, my, mz):0.05041885,0.06193733,-0.0612793,0.03936768,0.01544189,0.02706337
01 timestamp(ms):60029.63 force plate (fx, fy, fz, mx, my, mz):0.04626846,-0.1812611,-0.2492676,-0.00213623,-0.01818848,0.07040977
01 timestamp(ms):60061.7 force plate (fx, fy, fz, mx, my, mz):0.0525322,0.06482124,-0.06201172,-0.06530762,0.01541138,0.02773666
01 timestamp(ms):60098.69 force plate (fx, fy, fz, mx, my, mz):-0.2843361,0.05595207,-0.2492676,-0.01263428,-0.03390503,-0.06707954
01 timestamp(ms):60131.48 force plate (fx, fy, fz, mx, my, mz):0.04112625,0.05544853,-0.2473145,-0.012146,-0.01846313,-0.1593647
01 timestamp(ms):60169.35 force plate (fx, fy, fz, mx, my, mz):0.05041885,0.06193733,-0.0612793,0.03936768,0.01544189,0.02706337
01 timestamp(ms):60209.74 force plate (fx, fy, fz, mx, my, mz):0.3717308,-0.1817722,-0.2473145,-0.00177002,-0.002746582,-0.02187538
01 timestamp(ms):60247.45 force plate (fx, fy, fz, mx, my, mz):0.05263901,0.06156731,-0.06274414,0.03863525,-0.05108643,0.02714252
01 timestamp(ms):60283.21 force plate (fx, fy, fz, mx, my, mz):0.04553604,-0.1828785,-0.4362793,0.04974365,0.01483154,0.06992435
01 timestamp(ms):60323.11 force plate (fx, fy, fz, mx, my, mz):-0.2888527,-0.1883564,-0.2492676,-0.001647949,-0.0340271,-0.02408028
01 timestamp(ms):60357.76 force plate (fx, fy, fz, mx, my, mz):-0.2892151,-0.1894665,-0.0612793,0.05084229,-0.0005187988,-0.02442741
01 timestamp(ms):60389.28 force plate (fx, fy, fz, mx, my, mz):-0.2818298,-0.191534,-0.06030273,0.05108643,-0.0002441406,-0.1091042
01 timestamp(ms):60430.05 force plate (fx, fy, fz, mx, my, mz):0.0525322,0.06482124,-0.06201172,-0.06530762,0.01541138,0.02773666
01 timestamp(ms):60467.59 force plate (fx, fy, fz, mx, my, mz):0.05078506,0.06304741,-0.2492676,-0.01312256,-0.01806641,0.02741051
01 timestamp(ms):60499.82 force plate (fx, fy, fz, mx, my, mz):0.05078506,0.06304741,-0.2492676,-0.01312256,-0.01806641,0.02741051
01 timestamp(ms):60531.39 force plate (fx, fy, fz, mx, my, mz):0.05216599,0.06371117,0.1259766,-0.01281738,0.04891968,0.02738953
01 timestamp(ms):60566.5 force plate (fx, fy, fz, mx, my, mz):0.3831367,-0.1723995,-0.06201172,-0.05480957,0.03115845,0.1652279
01 timestamp(ms):60606.48 force plate (fx, fy, fz, mx, my, mz):0.04813004,-0.1827412,-0.06274414,0.04962158,-0.0512085,0.07014179
01 timestamp(ms):60644.25 force plate (fx, fy, fz, mx, my, mz):0.04801559,-0.1794872,-0.06201172,-0.05432129,0.01528931,0.07073593
01 timestamp(ms):60678.28 force plate (fx, fy, fz, mx, my, mz):0.04250717,0.05611229,0.1279297,-0.01184082,0.04852295,-0.1593857
01 timestamp(ms):60709.81 force plate (fx, fy, fz, mx, my, mz):0.3776283,0.0632,0.1279297,-0.01245117,0.06436157,-0.06489563
01 timestamp(ms):60742.2 force plate (fx, fy, fz, mx, my, mz):0.05263901,0.06156731,-0.06274414,0.03863525,-0.05108643,0.02714252
01 timestamp(ms):60777.8 force plate (fx, fy, fz, mx, my, mz):0.05078506,0.06304741,-0.2492676,-0.01312256,-0.01806641,0.02741051
01 timestamp(ms):60809.11 force plate (fx, fy, fz, mx, my, mz):0.3758812,0.06142616,-0.05932617,0.03973389,0.03088379,-0.06522179
01 timestamp(ms):60842 force plate (fx, fy, fz, mx, my, mz):0.05041885,0.06193733,-0.0612793,0.03936768,0.01544189,0.02706337
01 timestamp(ms):60883.8 force plate (fx, fy, fz, mx, my, mz):0.05041885,0.06193733,-0.0612793,0.03936768,0.01544189,0.02706337
01 timestamp(ms):60916.91 force plate (fx, fy, fz, mx, my, mz):0.3758812,0.06142616,-0.05932617,0.03973389,0.03088379,-0.06522179
01 timestamp(ms):60949.84 force plate (fx, fy, fz, mx, my, mz):0.3758812,0.06142616,-0.05932617,0.03973389,0.03088379,-0.06522179
01 timestamp(ms):60982.78 force plate (fx, fy, fz, mx, my, mz):0.04076004,0.05433846,-0.05932617,0.04034424,0.01504517,-0.1597118
01 timestamp(ms):61017.04 force plate (fx, fy, fz, mx, my, mz):0.04261398,0.05285835,0.1271973,0.09210205,-0.01797485,-0.1599808
01 timestamp(ms):61050.5 force plate (fx, fy, fz, mx, my, mz):0.3776283,0.0632,0.1279297,-0.01245117,0.06436157,-0.06489563
01 timestamp(ms):61084.49 force plate (fx, fy, fz, mx, my, mz):-0.2818336,0.0535183,0.1254883,0.09143066,0.03308105,-0.06785488
01 timestamp(ms):61116.36 force plate (fx, fy, fz, mx, my, mz):-0.2818584,0.05934334,0.125,-0.1166382,-0.03338623,-0.06626797
01 timestamp(ms):61159.79 force plate (fx, fy, fz, mx, my, mz):0.05326271,0.06643867,0.125,-0.1171265,-0.01754761,0.02822208
01 timestamp(ms):61199.15 force plate (fx, fy, fz, mx, my, mz):-0.2854633,0.05904961,-0.2497559,-0.1162109,-0.03384399,-0.06632519
01 timestamp(ms):61234.39 force plate (fx, fy, fz, mx, my, mz):-0.282589,0.05772591,-0.06201172,-0.06481934,-0.0004272461,-0.06675339
01 timestamp(ms):61277.74 force plate (fx, fy, fz, mx, my, mz):0.05078506,0.06304741,-0.2492676,-0.01312256,-0.01806641,0.02741051
01 timestamp(ms):61312.91 force plate (fx, fy, fz, mx, my, mz):-0.2843361,0.05595207,-0.2492676,-0.01263428,-0.03390503,-0.06707954
01 timestamp(ms):61348.29 force plate (fx, fy, fz, mx, my, mz):0.05438614,0.06334114,0.1245117,-0.0135498,-0.01760864,0.02746868
01 timestamp(ms):61382.41 force plate (fx, fy, fz, mx, my, mz):0.05365372,0.06172371,-0.0625,0.03833008,0.01541138,0.02698326
01 timestamp(ms):61418.55 force plate (fx, fy, fz, mx, my, mz):0.05438614,0.06334114,0.1245117,-0.0135498,-0.01760864,0.02746868
01 timestamp(ms):61460.79 force plate (fx, fy, fz, mx, my, mz):0.04692078,-0.1822147,-0.06103516,0.05004883,0.08181763,0.06990337
01 timestamp(ms):61499.41 force plate (fx, fy, fz, mx, my, mz):0.3724937,-0.1859798,-0.05981445,0.15448,0.03076172,-0.02297688
01 timestamp(ms):61534.45 force plate (fx, fy, fz, mx, my, mz):-0.2828484,0.05336189,0.1252441,0.09173584,-0.03341675,-0.06769562
01 timestamp(ms):61569.02 force plate (fx, fy, fz, mx, my, mz):0.04261398,0.05285835,0.1271973,0.09210205,-0.01797485,-0.1599808
01 timestamp(ms):61605.06 force plate (fx, fy, fz, mx, my, mz):-0.2854347,0.05322456,-0.248291,0.09173584,0.03262329,-0.0679121
01 timestamp(ms):61636.03 force plate (fx, fy, fz, mx, my, mz):-0.2850685,0.05433464,-0.4362793,0.03924561,-0.0008850098,-0.06756496
01 timestamp(ms):61670.87 force plate (fx, fy, fz, mx, my, mz):-0.2833214,0.05610847,-0.2490234,-0.01293945,0.03259277,-0.06723881
01 timestamp(ms):61707.01 force plate (fx, fy, fz, mx, my, mz):-0.2829552,0.05661583,0.1259766,-0.0123291,0.03308105,-0.06710052
01 timestamp(ms):61745.2 force plate (fx, fy, fz, mx, my, mz):0.04987717,-0.1809673,0.1245117,-0.002563477,-0.01773071,0.07046795
01 timestamp(ms):61782.25 force plate (fx, fy, fz, mx, my, mz):0.05466843,-0.1831722,-0.2480469,-0.002197266,0.04858398,-0.01442623
01 timestamp(ms):61817.96 force plate (fx, fy, fz, mx, my, mz):-0.2859802,-0.1896801,-0.0625,0.04992676,-0.0005493164,-0.02450752
01 timestamp(ms):61850.09 force plate (fx, fy, fz, mx, my, mz):0.0439949,0.05412483,-0.06054688,0.03930664,0.01501465,-0.1597919
01 timestamp(ms):61882.87 force plate (fx, fy, fz, mx, my, mz):0.3877602,0.06865501,-0.06274414,0.03814697,-0.03521729,0.1216345
