00 Gib
00 HideTextandButton
00 Data was recorded 60 times per second
00 Date and Time: 11/30/2023 5:12:23 PM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):38833.76  stage:0 time_period:20 sway_degree:-10 #_of_sways:10 rep:1
01 timestamp(ms):38878.98 force plate (fx, fy, fz, mx, my, mz):-0.3859177,0.06790161,0.07446289,-0.02526855,-0.0239563,-0.06340599
01 timestamp(ms):38918.64 force plate (fx, fy, fz, mx, my, mz):-0.05217743,0.07433319,-0.3010254,-0.02606201,-0.07510376,0.03110647
01 timestamp(ms):38955.92 force plate (fx, fy, fz, mx, my, mz):0.2825699,0.08031082,-0.1125488,0.02581787,-0.02575684,0.1252503
01 timestamp(ms):39007.54 force plate (fx, fy, fz, mx, my, mz):-0.05115891,0.07388687,0.2619629,0.0267334,0.02536011,0.03073502
01 timestamp(ms):39041.68 force plate (fx, fy, fz, mx, my, mz):-0.05531311,-0.1693115,0.07446289,-0.01489258,-0.008209229,0.07408333
01 timestamp(ms):39080.05 force plate (fx, fy, fz, mx, my, mz):-0.05265045,0.07647705,-0.1120605,-0.07763672,0.02493286,0.03135204
01 timestamp(ms):39115.23 force plate (fx, fy, fz, mx, my, mz):-0.04719734,-0.1697617,0.2634277,-0.06634521,-0.04095459,-0.01010799
01 timestamp(ms):39149.47 force plate (fx, fy, fz, mx, my, mz):0.2871933,-0.1642914,0.07641602,-0.01513672,0.007904053,0.08389854
01 timestamp(ms):39190.74 force plate (fx, fy, fz, mx, my, mz):0.2839546,0.08097458,0.2619629,0.02612305,0.04119873,0.125227
01 timestamp(ms):39224.24 force plate (fx, fy, fz, mx, my, mz):-0.04792786,-0.1713791,0.07641602,-0.01452637,-0.00793457,-0.01059341
01 timestamp(ms):39257.49 force plate (fx, fy, fz, mx, my, mz):0.284317,0.08208466,0.07446289,-0.02636719,0.007751465,0.125576
01 timestamp(ms):39291.53 force plate (fx, fy, fz, mx, my, mz):-0.04186821,0.08097839,-0.114502,0.02514648,0.02526855,0.2173743
01 timestamp(ms):39326.54 force plate (fx, fy, fz, mx, my, mz):-0.04967499,-0.1731529,-0.1105957,0.03765869,-0.04144287,-0.01091909
01 timestamp(ms):39361.26 force plate (fx, fy, fz, mx, my, mz):-0.04967499,-0.1731529,-0.1105957,0.03765869,-0.04144287,-0.01091909
01 timestamp(ms):39399.25 force plate (fx, fy, fz, mx, my, mz):-0.05254364,0.07322311,-0.1125488,0.02642822,-0.04159546,0.03075838
01 timestamp(ms):39434.77 force plate (fx, fy, fz, mx, my, mz):-0.3761444,0.07225037,0.07299805,0.07769775,-0.09005737,0.1227727
01 timestamp(ms):39481.11 force plate (fx, fy, fz, mx, my, mz):0.2839546,0.08097458,0.2619629,0.02612305,0.04119873,0.125227
01 timestamp(ms):39515.21 force plate (fx, fy, fz, mx, my, mz):0.2871933,-0.1642914,0.07641602,-0.01513672,0.007904053,0.08389854
01 timestamp(ms):39548.09 force plate (fx, fy, fz, mx, my, mz):-0.0551281,0.07308578,-0.486084,0.02642822,0.02438354,0.03054142
01 timestamp(ms):39582.21 force plate (fx, fy, fz, mx, my, mz):-0.05254364,0.07322311,-0.1125488,0.02642822,-0.04159546,0.03075838
01 timestamp(ms):39614.43 force plate (fx, fy, fz, mx, my, mz):-0.04967499,-0.1731529,-0.1105957,0.03765869,-0.04144287,-0.01091909
01 timestamp(ms):39646.3 force plate (fx, fy, fz, mx, my, mz):-0.3733788,-0.1708755,0.07446289,-0.01501465,-0.02337646,0.08168983
01 timestamp(ms):39683.09 force plate (fx, fy, fz, mx, my, mz):-0.05152893,-0.1716728,-0.2980957,-0.01422119,-0.008422852,-0.01065111
01 timestamp(ms):39717.82 force plate (fx, fy, fz, mx, my, mz):0.6080322,0.07979965,-0.1105957,0.02618408,-0.01031494,0.03296518
01 timestamp(ms):39751.09 force plate (fx, fy, fz, mx, my, mz):-0.05439758,0.07470322,-0.2990723,-0.02545166,-0.008575439,0.03102636
01 timestamp(ms):39793.8 force plate (fx, fy, fz, mx, my, mz):-0.04967499,-0.1731529,-0.1105957,0.03765869,-0.04144287,-0.01091909
01 timestamp(ms):39828.74 force plate (fx, fy, fz, mx, my, mz):-0.04792786,-0.1713791,0.07641602,-0.01452637,-0.00793457,-0.01059341
01 timestamp(ms):39863.05 force plate (fx, fy, fz, mx, my, mz):-0.05327415,0.07160568,-0.2995605,0.07830811,-0.008636475,0.03027344
01 timestamp(ms):39899.77 force plate (fx, fy, fz, mx, my, mz):0.6080322,0.07979965,-0.1105957,0.02618408,-0.01031494,0.03296518
01 timestamp(ms):39938.98 force plate (fx, fy, fz, mx, my, mz):-0.3870144,0.0651741,0.07495117,0.07910156,0.04244995,-0.06423998
01 timestamp(ms):39974.34 force plate (fx, fy, fz, mx, my, mz):-0.05327415,0.07160568,-0.2995605,0.07830811,-0.008636475,0.03027344
01 timestamp(ms):40008.03 force plate (fx, fy, fz, mx, my, mz):-0.05290604,0.07211304,0.07495117,0.07891846,-0.008148193,0.03040934
01 timestamp(ms):40048.49 force plate (fx, fy, fz, mx, my, mz):-0.04792786,-0.1713791,0.07641602,-0.01452637,-0.00793457,-0.01059341
01 timestamp(ms):40092.84 force plate (fx, fy, fz, mx, my, mz):-0.05116272,-0.1705627,-0.4865723,-0.06658936,-0.04193115,-0.01030302
01 timestamp(ms):40127.69 force plate (fx, fy, fz, mx, my, mz):-0.05327415,0.07160568,-0.2995605,0.07830811,-0.008636475,0.03027344
01 timestamp(ms):40165 force plate (fx, fy, fz, mx, my, mz):-0.0501442,-0.1710091,0.07641602,-0.01391602,0.05853271,-0.01067352
01 timestamp(ms):40200.14 force plate (fx, fy, fz, mx, my, mz):-0.05290604,0.07211304,0.07495117,0.07891846,-0.008148193,0.03040934
01 timestamp(ms):40235.02 force plate (fx, fy, fz, mx, my, mz):-0.05290604,0.07211304,0.07495117,0.07891846,-0.008148193,0.03040934
01 timestamp(ms):40273.53 force plate (fx, fy, fz, mx, my, mz):-0.05327415,0.07160568,-0.2995605,0.07830811,-0.008636475,0.03027344
01 timestamp(ms):40306.48 force plate (fx, fy, fz, mx, my, mz):-0.3870144,0.0651741,0.07495117,0.07910156,0.04244995,-0.06423998
01 timestamp(ms):40341.43 force plate (fx, fy, fz, mx, my, mz):-0.3751259,-0.1726494,-0.1125488,0.03717041,-0.05688477,0.08136415
01 timestamp(ms):40383.34 force plate (fx, fy, fz, mx, my, mz):-0.05265045,0.07647705,-0.1120605,-0.07763672,0.02493286,0.03135204
01 timestamp(ms):40427.18 force plate (fx, fy, fz, mx, my, mz):-0.04930687,-0.1726456,0.263916,0.03833008,-0.04101563,-0.01078272
01 timestamp(ms):40462.1 force plate (fx, fy, fz, mx, my, mz):-0.05265045,0.07647705,-0.1120605,-0.07763672,0.02493286,0.03135204
01 timestamp(ms):40495.86 force plate (fx, fy, fz, mx, my, mz):-0.04865837,-0.1729965,-0.1105957,0.03735352,0.02502441,-0.01107836
01 timestamp(ms):40531.01 force plate (fx, fy, fz, mx, my, mz):-0.7092304,-0.1795807,-0.1125488,0.03735352,-0.006286621,-0.01328516
01 timestamp(ms):40568.56 force plate (fx, fy, fz, mx, my, mz):-0.05217743,0.07433319,-0.3010254,-0.02606201,-0.07510376,0.03110647
01 timestamp(ms):40599.87 force plate (fx, fy, fz, mx, my, mz):-0.3830452,-0.1784744,0.07641602,-0.01403809,-0.02380371,-0.1050835
01 timestamp(ms):40633.63 force plate (fx, fy, fz, mx, my, mz):-0.04792786,-0.1713791,0.07641602,-0.01452637,-0.00793457,-0.01059341
01 timestamp(ms):40671.29 force plate (fx, fy, fz, mx, my, mz):-0.04453468,0.07601929,0.0769043,-0.1292114,-0.0078125,-0.05283928
01 timestamp(ms):40702.29 force plate (fx, fy, fz, mx, my, mz):0.2825699,0.08031082,-0.1125488,0.02581787,-0.02575684,0.1252503
01 timestamp(ms):40739.13 force plate (fx, fy, fz, mx, my, mz):-0.05254364,0.07322311,-0.1125488,0.02642822,-0.04159546,0.03075838
01 timestamp(ms):40774.72 force plate (fx, fy, fz, mx, my, mz):0.2853394,-0.1628113,-0.111084,-0.0670166,0.04092407,0.08416653
01 timestamp(ms):40811.8 force plate (fx, fy, fz, mx, my, mz):-0.04792786,-0.1713791,0.07641602,-0.01452637,-0.00793457,-0.01059341
01 timestamp(ms):40847.31 force plate (fx, fy, fz, mx, my, mz):-0.05217743,0.07433319,-0.3010254,-0.02606201,-0.07510376,0.03110647
01 timestamp(ms):40882.98 force plate (fx, fy, fz, mx, my, mz):0.2729187,0.07271194,-0.1105957,0.02679443,-0.02615356,-0.06152678
01 timestamp(ms):40918.78 force plate (fx, fy, fz, mx, my, mz):-0.05366707,0.07632065,-0.1120605,-0.07727051,-0.04159546,0.03151178
01 timestamp(ms):40963.65 force plate (fx, fy, fz, mx, my, mz):-0.05079651,0.07499695,0.07446289,-0.02575684,-0.008087158,0.03108406
01 timestamp(ms):41003.63 force plate (fx, fy, fz, mx, my, mz):0.2846832,0.08319473,-0.1140137,-0.07873535,-0.02575684,0.1259241
01 timestamp(ms):41044.03 force plate (fx, fy, fz, mx, my, mz):0.2791748,0.3187866,0.07836914,-0.03637695,0.007476807,-0.1042004
01 timestamp(ms):41079 force plate (fx, fy, fz, mx, my, mz):-0.388031,0.0650177,0.07495117,0.07940674,-0.02401733,-0.06408072
01 timestamp(ms):41117.85 force plate (fx, fy, fz, mx, my, mz):-0.3869343,0.06774521,0.07446289,-0.02490234,-0.09048462,-0.06324625
01 timestamp(ms):41155.49 force plate (fx, fy, fz, mx, my, mz):-0.3866463,-0.1787682,-0.2980957,-0.01373291,-0.02429199,-0.1051412
01 timestamp(ms):41189.85 force plate (fx, fy, fz, mx, my, mz):-0.05254364,0.07322311,-0.1125488,0.02642822,-0.04159546,0.03075838
01 timestamp(ms):41226.81 force plate (fx, fy, fz, mx, my, mz):-0.710247,-0.1797371,-0.1125488,0.03765869,-0.07275391,-0.0131259
