00 datatest
00 Data was recorded 60 times per second
00 Date and Time: 1/23/2023 2:14:48 PM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):23052.57  stage:1 time_period:10 sway_degree:-5 #_of_sways:60 rep:1
01 timestamp(ms):23060.88 force plate (fx, fy, fz, mx, my, mz):-0.04914284,-0.2509365,-0.1352539,-0.04937744,0.008575439,-0.01205158
01 timestamp(ms):23077.5 force plate (fx, fy, fz, mx, my, mz):-0.04499626,-0.007749557,0.05371094,-0.007873535,0.04217529,-0.05539894
01 timestamp(ms):23097.54 force plate (fx, fy, fz, mx, my, mz):-0.04387283,-0.01083946,0.05419922,0.09570313,0.04217529,-0.0561533
01 timestamp(ms):23112.85 force plate (fx, fy, fz, mx, my, mz):-0.04350662,-0.0097332,-0.1337891,0.04321289,0.00869751,-0.05580521
01 timestamp(ms):23127.6 force plate (fx, fy, fz, mx, my, mz):0.292345,-0.001028061,0.05322266,-0.009094238,-0.008453369,0.03917027
01 timestamp(ms):23143.13 force plate (fx, fy, fz, mx, my, mz):0.2894764,0.245348,0.05126953,-0.02032471,-0.008636475,0.08084774
01 timestamp(ms):23160.51 force plate (fx, fy, fz, mx, my, mz):0.2878361,-0.2453289,0.05126953,0.00189209,-0.008575439,0.08216953
01 timestamp(ms):23180.96 force plate (fx, fy, fz, mx, my, mz):0.2852478,-0.2454662,-0.3222656,0.001831055,0.0574646,0.08195305
01 timestamp(ms):23196.43 force plate (fx, fy, fz, mx, my, mz):-0.3704586,-0.007238388,0.05175781,-0.008361816,0.0267334,0.03688622
01 timestamp(ms):23211.81 force plate (fx, fy, fz, mx, my, mz):-0.04499626,-0.007749557,0.05371094,-0.007873535,0.04217529,-0.05539894
01 timestamp(ms):23226.85 force plate (fx, fy, fz, mx, my, mz):-0.04314232,-0.009222031,0.2412109,0.04388428,0.009155273,-0.05566788
01 timestamp(ms):23247.29 force plate (fx, fy, fz, mx, my, mz):-0.3714733,0.2376575,0.2373047,0.03216553,-0.006439209,0.07829475
01 timestamp(ms):23262.63 force plate (fx, fy, fz, mx, my, mz):-0.05125809,-0.008764267,0.05224609,0.09545898,0.04190063,0.02852345
01 timestamp(ms):23277.56 force plate (fx, fy, fz, mx, my, mz):-0.04739189,0.2364864,-0.1357422,0.0322876,-0.05795288,-0.01396847
01 timestamp(ms):23297.58 force plate (fx, fy, fz, mx, my, mz):-0.04314232,-0.009222031,0.2412109,0.04388428,0.009155273,-0.05566788
