00 testrun
00 01
00 testingapp
00 Data was recorded 60 times per second
00 Date and Time: 9/27/2019 2:05:28 PM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):78432.86  stage:1 time_period:3 sway_degree:-15 #_of_sways:4 rep:1
01 timestamp(ms):78456.13 force plate (fx, fy, fz, mx, my, mz):-1.582251,-2.271078,-0.8842773,-5.158508,5.94873,1.069566
01 timestamp(ms):78477.16 force plate (fx, fy, fz, mx, my, mz):-1.915152,-2.278536,-0.8862305,-5.158508,5.866394,0.9751539
01 timestamp(ms):78499.15 force plate (fx, fy, fz, mx, my, mz):-1.580544,-2.765219,-0.8847656,-5.033142,5.882263,1.070213
01 timestamp(ms):78521.33 force plate (fx, fy, fz, mx, my, mz):-1.581305,-2.030912,-0.5102539,-4.962036,5.81601,1.110112
01 timestamp(ms):78543.23 force plate (fx, fy, fz, mx, my, mz):-1.574827,-2.276991,-0.1362305,-4.950989,5.81665,1.068492
01 timestamp(ms):78565.55 force plate (fx, fy, fz, mx, my, mz):-0.5078945,-0.6655674,-0.7348633,-2.001404,2.567993,1.132155
01 timestamp(ms):78588.95 force plate (fx, fy, fz, mx, my, mz):-0.1741581,-0.4140835,-0.921875,-1.961914,2.550201,1.26792
01 timestamp(ms):78610.81 force plate (fx, fy, fz, mx, my, mz):0.1562901,-0.1724262,-1.105957,-1.920959,2.46579,1.132392
01 timestamp(ms):78632.62 force plate (fx, fy, fz, mx, my, mz):-0.1840763,-0.4254379,-1.294922,-1.857605,2.482819,1.080414
01 timestamp(ms):78654.21 force plate (fx, fy, fz, mx, my, mz):3.172659,0.7811852,0.1970215,-0.1626587,1.310303,1.289089
01 timestamp(ms):78676.96 force plate (fx, fy, fz, mx, my, mz):3.170069,0.7810478,-0.177002,-0.1625366,1.376312,1.288873
01 timestamp(ms):78699.22 force plate (fx, fy, fz, mx, my, mz):3.16647,1.025806,-0.3640137,-0.1218872,1.409149,1.330065
01 timestamp(ms):78722.55 force plate (fx, fy, fz, mx, my, mz):3.170069,0.7810478,-0.177002,-0.1625366,1.376312,1.288873
