Time	 CoPx	 Distance(d)	 Abs Distance	 Velocity
37414.42	0.986
37433.52	0.3794	-0.6066	0.6066	-0.0318
37452.1	0.4716	0.0922	0.0922	0.005
37474.63	0.2911	-0.1805	0.1805	-0.008
37496.09	0.8288	0.5378	0.5378	0.0251
37518.96	-1.5564	-2.3852	2.3852	-0.1043
37544.05	-1.6064	-0.05	0.05	-0.002
37562.41	-1.567	0.0394	0.0394	0.0021
37585.37	-1.584	-0.017	0.017	-0.0007
37607.34	-1.572	0.012	0.012	0.0005
37629.17	-0.9984	0.5736	0.5736	0.0263
37652.73	-1.2704	-0.272	0.272	-0.0115
37675.2	-1.2079	0.0625	0.0625	0.0028
37695.15	-1.5798	-0.3719	0.3719	-0.0186
37717.48	-1.1327	0.4471	0.4471	0.02
37741.24	-2.1192	-0.9865	0.9865	-0.0415
37764.26	-2.6347	-0.5154	0.5154	-0.0224
37785.11	-3.3074	-0.6728	0.6728	-0.0323
37808.97	-2.1404	1.167	1.167	0.0489
37828.83	-1.6903	0.4501	0.4501	0.0227
37851.48	-2.2459	-0.5556	0.5556	-0.0245
37879.99	-3.4695	-1.2236	1.2236	-0.0429
37896.59	-2.9954	0.4741	0.4741	0.0286
37918.25	-3.4803	-0.4849	0.4849	-0.0224
37940.89	2.4769	5.9572	5.9572	0.2631
37962.42	1.615	-0.8619	0.8619	-0.04
37986.93	1.615	0.0	0.0	0.0
38007.77	1.1848	-0.4302	0.4302	-0.0206
38029.0	1.1492	-0.0356	0.0356	-0.0017
38051.3	2.737	1.5878	1.5878	0.0712
38074.29	2.7517	0.0147	0.0147	0.0006
38097.07	7.5531	4.8014	4.8014	0.2108
38123.98	7.2165	-0.3366	0.3366	-0.0125
38142.47	-8.6259	-15.8424	15.8424	-0.8568
38161.71	-1.6797	6.9462	6.9462	0.361
38184.68	-7.0239	-5.3442	5.3442	-0.2327
38209.18	-7.2971	-0.2732	0.2732	-0.0111
38229.02	-7.7682	-0.4712	0.4712	-0.0237
38251.18	-0.2526	7.5156	7.5156	0.3392
38274.04	-0.268	-0.0154	0.0154	-0.0007
38295.18	0.4736	0.7416	0.7416	0.0351
38318.03	0.5388	0.0652	0.0652	0.0029
38346.27	-0.268	-0.8068	0.8068	-0.0286
38363.57	8.9106	9.1786	9.1786	0.5306
38384.58	2.5743	-6.3363	6.3363	-0.3016
38407.61	4.1367	1.5624	1.5624	0.0678
38431.91	8.5998	4.463	4.463	0.1837
38451.62	8.5998	0.0	0.0	0.0
38473.73	-8.4194	-17.0191	17.0191	-0.7697
38495.12	4.6267	13.0461	13.0461	0.6099
38518.52	5.0921	0.4654	0.4654	0.0199
38541.25	5.534	0.442	0.442	0.0194
38562.69	-8.4194	-13.9534	13.9534	-0.6508
38589.56	2.6085	11.0278	11.0278	0.4104
38608.15	2.6102	0.0017	0.0017	0.0001
38630.38	2.0447	-0.5655	0.5655	-0.0254
38651.4	2.5638	0.5192	0.5192	0.0247
38673.89	-0.8045	-3.3683	3.3683	-0.1498
38694.96	-0.8051	-0.0006	0.0006	-0.0
38718.17	-1.3708	-0.5658	0.5658	-0.0244
38740.56	-1.5833	-0.2125	0.2125	-0.0095
38761.74	-1.8235	-0.2402	0.2402	-0.0113
38784.52	7.1547	8.9783	8.9783	0.3941
38812.64	2.1024	-5.0523	5.0523	-0.1797
38829.68	6.4703	4.3679	4.3679	0.2563
38853.32	-4.9102	-11.3806	11.3806	-0.4814
38873.49	-4.9102	0.0	0.0	0.0
38895.2	6.9112	11.8214	11.8214	0.5445
38918.54	-5.2206	-12.1318	12.1318	-0.5198
38940.05	-12.4286	-7.208	7.208	-0.3351
38961.48	5.4618	17.8905	17.8905	0.8348
38984.45	-10.4885	-15.9504	15.9504	-0.6944
39006.91	7.1268	17.6153	17.6153	0.7843
39028.11	2.1395	-4.9872	4.9872	-0.2352
39056.04	-10.9515	-13.091	13.091	-0.4687
39076.52	-3.5079	7.4437	7.4437	0.3635
39094.92	-1.9561	1.5518	1.5518	0.0843
39117.34	-2.4007	-0.4447	0.4447	-0.0198
39140.34	-1.4115	0.9892	0.9892	0.043
39161.51	-2.0143	-0.6028	0.6028	-0.0285
39183.95	-2.0193	-0.005	0.005	-0.0002
39206.74	-0.9166	1.1027	1.1027	0.0484
39228.37	-0.7907	0.1259	0.1259	0.0058
39250.82	-0.9431	-0.1524	0.1524	-0.0068
39278.73	-0.4678	0.4753	0.4753	0.017
39298.1	1.7553	2.2232	2.2232	0.1148
39317.39	2.0102	0.2548	0.2548	0.0132
39340.2	2.2269	0.2167	0.2167	0.0095
